_id,chapter,questionId,question_text,subject,subtopic,year
jh7d49wr4fxzyepwa487dd2e2d7sz05x,Computer Networks,2025-cs2-q.17,"Consider the routing protocols given in List I and the names given in List II:

List I
(i) Distance vector routing
(ii) Link state routing

List II
(a) Bellman-Ford
(b) Dijkstra

For matching of items in List I with those in List II, which ONE of the following options is CORRECT?",Computer Networks,"Routing protocols: shortest path, flooding, distance vector and link state routing",2025
jh72zjfgr1xhhk74hjfbsrkb9h7syej6,Algorithms,2025-cs1-q.18,"Let G be any undirected graph with positive edge weights, and T be a minimum spanning tree of G. For any two vertices, u and v, let d1(u, v) and d2(u, v) be the shortest distances between u and v in G and T, respectively. Which ONE of the options is CORRECT for all possible G, T, u and v?",Algorithms,Minimum spanning trees,2025
jh7bj60g0hggx6b5h8heespj317sy1e2,Computer Networks,2025-cs2-q.18,"A machine receives an IPv4 datagram. The protocol field of the IPv4 header has the protocol number of a protocol X.

Which ONE of the following is NOT a possible candidate for X?",Computer Networks,"Fragmentation and IP addressing, IPv4, CIDR notation",2025
jh7ey5crpy9sgc2wep9d987xz17syjnv,Theory of Computation,2025-cs1-q.19,"Consider the following context-free grammar G, where S, A, and B are the variables (non-terminals), a and b are the terminal symbols, S is the start variable, and the rules of G are described as:
S → aaB | Abb
A → a | aA
B → b | bB
Which ONE of the languages L(G) is accepted by G?",Theory of Computation,Context-free grammars and push-down automata,2025
jh7d2x3ewxwgzsgqbx0fvknkcn7syw9h,Programming and Data Structures,2025-cs2-q.19,"Consider the following C program:

#include <stdio.h>

void stringcopy(char *, char *);

int main(){
  char a[30] = ""@#Hello World!"";
  stringcopy(a, a + 2);
  printf(""%s\n"", a);
  return 0;
}

void stringcopy(char *s, char *t) {
  while(*t)
    *s++ = *t++;
}

Which ONE of the following will be the output of the program?",Programming and Data Structures,Programming in C,2025
jh712zvxv6c5ee134vx3n6mrad7szqsm,General Aptitude,2025-cs1-q.2,"The CEO's decision to downsize the workforce was considered myopic because it sacrificed long-term stability to accommodate short-term gains.
Select the most appropriate option that can replace the word “myopic” without changing the meaning of the sentence.",General Aptitude,Vocabulary,2025
jh70ax0w26hr6s752zsy2dpp917sy93f,General Aptitude,2025-cs2-q.2,"Bird : Nest :: Bee : __________

Select the correct option to complete the analogy.",General Aptitude,OTHER: Analogy,2025
jh7bnrwap5jgtgbsrgxfd10mw97sygk3,Algorithms,2025-cs1-q.20,"Consider the following recurrence relation:
T(n) = 2T(n − 1) + n2ⁿ for n > 0, T(0) = 1.
Which ONE of the following options is CORRECT?",Algorithms,approximate: Recurrence relations,2025
jh7cqeg9p8v44eaa3ktxn5k3rn7szd4v,Algorithms,2025-cs2-q.20,"Consider an unordered list of N distinct integers.

What is the minimum number of element comparisons required to find an integer in the list that is NOT the largest in the list?",Algorithms,"Searching, sorting, hashing",2025
jh7d59wc0ak5tkjvw60heaywj97sz5ct,Databases,2025-cs1-q.21,"Consider the following B+ tree with 5 nodes, in which a node can store at most 3 key values. The value 23 is now inserted in the B+ tree. Which of the following options(s) is/are CORRECT?",Databases,"File organization, indexing (e.g., B and B+ trees)",2025
jh7faktwgp63p4a3g97zcmqwr17szsbj,Compiler Design,2025-cs2-q.21,"Consider the following statements about the use of backpatching in a compiler for intermediate code generation:

(I) Backpatching can be used to generate code for Boolean expression in one pass.
(II) Backpatching can be used to generate code for flow-of-control statements in one pass.

Which ONE of the following options is CORRECT?",Compiler Design,Intermediate code generation,2025
jh7a046d2v7hs4ck05d239t15h7sy0q3,Computer Networks,2025-cs1-q.22,"Consider the 3-way handshaking protocol for TCP connection establishment. Let the three packets exchanged during the connection establishment be denoted as P1, P2, and P3, in order. Which of the following option(s) is/are TRUE with respect to TCP header flags that are set in the packets?",Computer Networks,"UDP, TCP, sockets",2025
jh79mey901tzfxsykvaefd6v0n7szz7r,Compiler Design,2025-cs2-q.22,"Given the following syntax directed translation rules:

Rule 1: R → AB {B.i = R.i − 1; A.i = B.i; R.i = A.i + 1;}
Rule 2: P → CD {P.i = C.i + D.i; D.i = C.i + 2;}
Rule 3: Q → EF {Q.i = E.i + F.i;}

Which ONE is the CORRECT option among the following?",Compiler Design,"Parsing, syntax-directed translation",2025
jh76xeee77fjrw3rqbycp9gysn7sz0xp,Engineering Mathematics,2025-cs1-q.23,"Consider the given system of linear equations for variables x and y, where k is a real-valued constant. Which of the following option(s) is/are CORRECT?
x + ky = 1
kx + y = -1",Engineering Mathematics,System of linear equations,2025
jh766gjg40kp27xwgecg9730rd7sy9z6,Computer Networks,2025-cs2-q.23,"Consider a network that uses Ethernet and IPv4. Assume that IPv4 headers do not use any options field. Each Ethernet frame can carry a maximum of 1500 bytes in its data field. A UDP segment is transmitted. The payload (data) in the UDP segment is 7488 bytes.

Which ONE of the following choices has the CORRECT total number of fragments transmitted and the size of the last fragment including IPv4 header?",Computer Networks,"Fragmentation and IP addressing, IPv4, CIDR notation",2025
jh74x1chnfba2dtcfzdzrzm2f97szad9,Digital Logic,2025-cs1-q.24,"Let X be a 3-variable Boolean function that produces output as '1' when at least two of the input variables are ‘1'. Which of the following statement(s) is/are CORRECT, where a, b, c, d, e are Boolean variables?",Digital Logic,Boolean algebra,2025
jh76w55mjjrcmr2r3cmme525jd7sygyk,Theory of Computation,2025-cs2-q.24,Which ONE of the following languages is accepted by a deterministic pushdown automaton?,Theory of Computation,Context-free grammars and push-down automata,2025
jh74fnzrqma05th02m4ryaqqg17sy4dy,Computer Organization and Architecture,2025-cs1-q.25,The number −6 can be represented as 1010 in 4-bit 2’s complement representation. Which of the following is/are CORRECT 2’s complement representation(s) of −6?,Digital Logic,Number representations and computer arithmetic (fixed and floating point),2025
jh7d5e6q81zk3mgsnd9e0yesa97sz3be,Theory of Computation,2025-cs2-q.25,"Let G1, G2 be Context Free Grammars (CFGs) and R be a regular expression. For a grammar G, let L(G) denote the language generated by G.

Which ONE among the following questions is decidable?",Theory of Computation,Turing machines and undecidability,2025
jh7eb162jkjvxm1c7axrjemhe17szsva,Programming and Data Structures,2025-cs1-q.26,Which of the following statement(s) is/are TRUE for any binary search tree (BST) having n distinct integers?,Programming and Data Structures,Binary search trees,2025
jh73q49qeazw4qz2225rza8f2h7szz9c,Operating System,2025-cs2-q.26,"Processes P1, P2, P3, P4 arrive in that order at times 0, 1, 2, and 8 milliseconds respectively, and have execution times of 10, 13, 6, and 9 milliseconds respectively. Shortest Remaining Time First (SRTF) algorithm is used as the CPU scheduling policy. Ignore context switching times.

Which ONE of the following correctly gives the average turnaround time of the four processes in milliseconds?",Operating System,CPU and I/O scheduling,2025
jh7ejasv5jz427nbt2c2ah3fgd7sznjz,Computer Organization and Architecture,2025-cs1-q.27,"A partial data path of a processor is given in the figure, where RA, RB, and RZ are 32-bit registers. Which option(s) is/are CORRECT related to arithmetic operations using the data path as shown?",Computer Organization and Architecture,"ALU, data-path and control unit",2025
jh7027mzs8rwyvvvgx74222g1s7szfq5,Databases,2025-cs2-q.27,"An audit of a banking transactions system has found that on an earlier occasion, two joint holders of account A attempted simultaneous transfers of Rs. 10000 each from account A to account B. Both transactions read the same value, Rs. 11000, as the initial balance in A and were allowed to go through. B was credited Rs. 10000 twice. A was debited only once and ended up with a balance of Rs. 1000.

Which of the following properties is/are certain to have been violated by the system?",Databases,Transactions and concurrency control,2025
jh70rknty8d2n8c1h77ad60ech7sygwy,Theory of Computation,2025-cs1-q.28,A regular language L is accepted by a non-deterministic finite automaton (NFA) with n states. Which of the following statement(s) is/are FALSE?,Theory of Computation,Regular expressions and finite automata,2025
jh7fasvragtpqdhrggtrxakne57syqc9,Computer Organization and Architecture,2025-cs2-q.28,Which of the following is/are part of an Instruction Set Architecture of a processor?,Computer Organization and Architecture,Machine instructions and addressing modes,2025
jh7aqm5gdesrd3q1g2n2r5y5v57sy68x,Operating System,2025-cs1-q.29,"Suppose in a multiprogramming environment, the following C program segment is executed. A process goes into I/O queue whenever an I/O related operation is performed. Assume that there will always be a context switch whenever a process requests for an I/O, and also whenever the process returns from an I/O. The number of times the process will enter the ready queue during its lifetime (not counting the time the process enters the ready queue when it is run initially) is ____. (Answer in integer)
int main()
{
    int x=0,i=0;
    scanf(""%d"",&x);
    for(i=0; i<20; i++)
    {
        x = x+20;
        printf(""%d\n"",x);
    }
    return 0;
}",Operating System,approximate: Process states and context switching,2025
jh7fch2zvd63tfwabcsavrczx17sye6w,Algorithms,2025-cs2-q.29,Which of the following statements regarding Breadth First Search (BFS) and Depth First Search (DFS) on an undirected simple graph G is/are TRUE?,Algorithms,"Graph traversals, minimum spanning trees, shortest paths",2025
jh7ey031pkt8qn7mhyn46h30317symt6,General Aptitude,2025-cs1-q.3,"The average marks obtained by a class in an examination were calculated as 30.8. However, while checking the marks entered, the teacher found that the marks of one student were entered incorrectly as 24 instead of 42. After correcting the marks, the average becomes 31.4. How many students does the class have?",General Aptitude,Averages,2025
jh7fh0qmk9xhcpnm413w7hr9th7syhdf,General Aptitude,2025-cs2-q.3,"If Pe^x = Qe^−x for all real values of x, which one of the following statements is true?",General Aptitude,OTHER: Algebra,2025
jh70jahj9jazrw0ba817n13cxh7sydw6,Discrete Mathematics,2025-cs1-q.30,"Let S be the set of all ternary strings defined over the alphabet {a, b, c}. Consider all strings in S that contain at least one occurrence of two consecutive symbols, that is, “aa”, “bb” or “cc”. The number of such strings of length 5 that are possible is ____. (Answer in integer)",Engineering Mathematics,Combinatorics: counting,2025
jh75j76d6cevbgqnct47qnyr9s7syd3f,Theory of Computation,2025-cs2-q.30,"Consider the two lists List I and List II given below:

List I
(i) Context free languages
(ii) Recursive languages
(iii) Regular languages

List II
(a) Closed under union
(b) Not closed under complementation
(c) Closed under intersection

For matching of items in List I with those in List II, which of the following option(s) is/are CORRECT?",Theory of Computation,"Regular and context-free languages, pumping lemma",2025
jh756z98a0jq6gdg8a5mjd0yph7szf98,Engineering Mathematics,2025-cs1-q.31,"Consider the given function f(x).
f(x) = { ax + b for x < 1; x³ + x² + 1 for x ≥ 1 }
If the function is differentiable everywhere, the value of b must be ____. (rounded off to one decimal place)",Engineering Mathematics,"Limits, continuity and differentiability",2025
jh7cmy44jdzjf5rqbtntk15vks7sy33d,Digital Logic,2025-cs2-q.31,"Consider the following logic circuit diagram.

Which is/are the CORRECT option(s) for the output function F?",Digital Logic,Boolean algebra,2025
jh780hztpa6w4xrcaqdsywzkph7szzhw,Engineering Mathematics,2025-cs1-q.32,"A box contains 5 coins: 4 regular coins and 1 fake coin. When a regular coin is tossed, the probability P(head) = 0.5 and for a fake coin, P(head) = 1. You pick a coin at random and toss it twice, and get two heads. The probability that the coin you have chosen is the fake coin is ____. (rounded off to two decimal places)",Engineering Mathematics,Conditional probability and Bayes theorem,2025
jh75atky8tnj9ndemp5xa60r1x7szte3,Computer Organization and Architecture,2025-cs2-q.32,"The following two signed 2's complement numbers (multiplicand M and multiplier Q) are being multiplied using Booth's algorithm:

M: 1100 1101 1110 1101 and Q: 1010 0100 1010 1010

The total number of addition and subtraction operations to be performed is ________. (Answer in integer)",Digital Logic,Number representations and computer arithmetic (fixed and floating point),2025
jh7dzh5e9jj130kfrt81hhywth7szy44,Algorithms,2025-cs1-q.33,"The pseudocode of a function fun () is given below:
fun(int A[0,…,n-1]){
  for i=0 to n-2
    for j=0 to n-i-2
      if (A[j]>A[j+1])
        then swap A[j] and A[j+1]
}
Let A[0, ...,29] be an array storing 30 distinct integers in descending order. The number of swap operations that will be performed, if the function fun () is called with A[0, ...,29] as argument, is ____. (Answer in integer)",Algorithms,approximate: Bubble Sort Analysis,2025
jh79jqqrfhv9xjzrkwjqex8xn17sz1sk,Programming and Data Structures,2025-cs2-q.33,"int x=126,y=105;
do {
  if(x>y) x=x-y;
  else y=y-x;
} while(x!=y);

printf(""%d"",x);

The output of the given C code segment is ________. (Answer in integer)",Programming and Data Structures,Programming in C,2025
jh73w25k5j9b39yxv7yc10334d7synwg,Programming and Data Structures,2025-cs1-q.34,"The output of the given C program is ____. (Answer in integer)
#include <stdio.h>
void foo(int *p, int x){
  *p=x;
}
int main(){
  int *z;
  int a = 20, b = 25;
  z = &a;
  foo(z,b);
  printf(""%d"",a);
  return 0;
}",Programming and Data Structures,approximate: Pointers and Functions,2025
jh78k2mj34vdy98axn43kjh6rn7szx9j,Digital Logic,2025-cs2-q.34,"In a 4-bit ripple counter, if the period of the waveform at the last flip-flop is 64 microseconds, then the frequency of the ripple counter in kHz is ________. (Answer in integer)",Digital Logic,Combinational and sequential circuits,2025
jh70nzzhdzm4yj4jtrw5pf55an7sztc5,Programming and Data Structures,2025-cs1-q.35,"The height of any rooted tree is defined as the maximum number of edges in the path from the root node to any leaf node.
Suppose a Min-Heap T stores 32 keys. The height of T is ____. (Answer in integer)",Programming and Data Structures,Binary heaps,2025
jh7e44vk0m3wt46mwnakh3yt9d7sy6xh,Programming and Data Structures,2025-cs2-q.35,"Suppose the values 10, -4, 15, 30, 20, 5, 60, 19 are inserted in that order into an initially empty binary search tree. Let T be the resulting binary search tree. The number of edges in the path from the node containing 19 to the root node of T is ________. (Answer in integer)",Programming and Data Structures,"Arrays, stacks, queues, linked lists, trees, binary search trees, binary heaps, graphs",2025
jh77s48n0tjb4jgxcjm2e01qr97szrc9,Computer Organization and Architecture,2025-cs1-q.36,"Consider a memory system with 1M bytes of main memory and 16K bytes of cache memory. Assume that the processor generates 20-bit memory address, and the cache block size is 16 bytes. If the cache uses direct mapping, how many bits will be required to store all the tag values? [Assume memory is byte addressable, 1K=2¹⁰, 1M=2²⁰.]",Computer Organization and Architecture,"cache, main memory and secondary storage",2025
jh76fxqkznhg6r3qfvs27kagnh7szdh9,Computer Networks,2025-cs2-q.36,"Suppose we are transmitting frames between two nodes using Stop-and-Wait protocol. The frame size is 3000 bits. The transmission rate of the channel is 2000 bps (bits/second) and the propagation delay between the two nodes is 100 milliseconds. Assume that the processing times at the source and destination are negligible. Also, assume that the size of the acknowledgement packet is negligible. Which ONE of the following most accurately gives the channel utilization for the above scenario in percentage?",Computer Networks,"Data link layer: framing, error detection, Medium Access Control, Ethernet bridging",2025
jh711nwnaazm66808hkh8609kx7sye3d,Computer Organization and Architecture,2025-cs1-q.37,"A processor has 64 general-purpose registers and 50 distinct instruction types. An instruction is encoded in 32-bits. What is the maximum number of bits that can be used to store the immediate operand for the given instruction?
ADD R1, #25 // R1 = R1 + 25",Computer Organization and Architecture,Machine instructions and addressing modes,2025
jh72z6qtpem329n7t04tj2zxwx7syqbq,Algorithms,2025-cs2-q.37,"Let G be an edge-weighted undirected graph with positive edge weights. Suppose a positive constant α is added to the weight of every edge.

Which ONE of the following statements is TRUE about the minimum spanning trees (MSTs) and shortest paths (SPs) in G before and after the edge weight update?",Algorithms,"Graph traversals, minimum spanning trees, shortest paths",2025
jh76amvappjyce32feg5w7j2n97sykt5,Operating System,2025-cs1-q.38,"A computer has two processors, M₁ and M₂. Four processes P₁, P₂, P₃, P₄ with CPU bursts of 20, 16, 25, and 10 milliseconds, respectively, arrive at the same time and these are the only processes in the system. The scheduler uses non-preemptive priority scheduling, with priorities decided as follows:
• M₁ uses priority of execution for the processes as, P₁ > P₃ > P₂ > P₄, i.e., P₁ and P₄ have highest and lowest priorities, respectively.
• M₂ uses priority of execution for the processes as, P₂ > P₃ > P₄ > P₁, i.e., P₂ and P₁ have highest and lowest priorities, respectively.
A process Pᵢ is scheduled to a processor Mₖ, if the processor is free and no other process Pⱼ is waiting with higher priority. At any given point of time, a process can be allocated to any one of the free processors without violating the execution priority rules. Ignore the context switch time. What will be the average waiting time of the processes in milliseconds?",Operating System,CPU and I/O scheduling,2025
jh7a3snqzcnd4y99ct3kxwjcdd7syyy7,Programming and Data Structures,2025-cs2-q.38,"A meld operation on two instances of a data structure combines them into one single instance of the same data structure. Consider the following data structures:

P: Unsorted doubly linked list with pointers to the head node and tail node of the list.
Q: Min-heap implemented using an array.
R: Binary Search Tree.

Which ONE of the following options gives the worst-case time complexities for meld operation on instances of size n of these data structures?",Programming and Data Structures,"Arrays, stacks, queues, linked lists, trees, binary search trees, binary heaps, graphs",2025
jh79r076h3fwgy76w044kkbsm17szxmm,Databases,2025-cs1-q.39,"Consider two relations describing teams and players in a sports league:
• teams(tid, tname): tid, tname are team-id and team-name, respectively
• players(pid, pname, tid): pid, pname, and tid denote player-id, player-name and the team-id of the player, respectively
Which ONE of the following tuple relational calculus queries returns the name of the players who play for the team having tname as 'MI'?",Databases,"relational algebra, tuple calculus, SQL",2025
jh7fbrnzc00t7sfrpedzg8r0bs7sy3pr,Computer Organization and Architecture,2025-cs2-q.39,"For a direct-mapped cache, 4 bits are used for the tag field and 12 bits are used to index into a cache block. The size of each cache block is one byte. Assume that there is no other information stored for each cache block.

Which ONE of the following is the CORRECT option for the sizes of the main memory and the cache memory in this system (byte addressable), respectively?",Computer Organization and Architecture,"Memory hierarchy: cache, main memory and secondary storage",2025
jh7bb0w9sbd31z3g5t1p2hgdds7sz967,General Aptitude,2025-cs1-q.4,"Consider the relationships among P, Q, R, S, and T:
• P is the brother of Q.
• S is the daughter of Q.
• T is the sister of S.
• R is the mother of Q.
The following statements are made based on the relationships given above.
(1) R is the grandmother of S.
(2) P is the uncle of S and T.
(3) R has only one son.
(4) Q has only one daughter.
Which one of the following options is correct?",General Aptitude,Logical Reasoning,2025
jh74e453r6jdtb3fgp34g1wmnn7sygnm,General Aptitude,2025-cs2-q.4,"The paper as shown in the figure is folded to make a cube where each square corresponds to a particular face of the cube. Which one of the following options correctly represents the cube?

Note: The figures shown are representative.",General Aptitude,OTHER: Paper Folding and Cutting,2025
jh723nvnfagx58hw04jq8gck9n7szgth,Computer Networks,2025-cs1-q.40,A packet with the destination IP address 145.36.109.70 arrives at a router whose routing table is shown. Which interface will the packet be forwarded to?,Computer Networks,CIDR notation,2025
jh730zqn6rt1xxhrw4g0jpqwf97sy0z5,Compiler Design,2025-cs2-q.40,"Given a Context-Free Grammar G as follows:

S → Aa | bAc | dc | bda
A → d

Which ONE of the following statements is TRUE?",Compiler Design,"Parsing, syntax-directed translation",2025
jh75g9q9hrqapw34ypa8nhymah7syx05,Engineering Mathematics,2025-cs1-q.41,"Let A be a 2 × 2 matrix as given.
A = [[1, 1], [1, -1]]
What are the eigenvalues of the matrix A¹³ ?",Engineering Mathematics,eigenvalues and eigenvectors,2025
jh7bddt4mrevvrk04zwy048jxd7symb6,Algorithms,2025-cs2-q.41,"An array A of length n with distinct elements is said to be bitonic if there is an index 1 ≤ i ≤ n such that A[1..i] is sorted in the non-decreasing order and A[i+1..n] is sorted in the non-increasing order.

Which ONE of the following represents the best possible asymptotic bound for the worst-case number of comparisons by an algorithm that searches for an element in a bitonic array A?",Algorithms,"Searching, sorting, hashing",2025
jh74qa2d1924qr8d6yhnn58q1x7sz1kp,Digital Logic,2025-cs1-q.42,"Consider the following four variable Boolean function in sum-of-product form
F(b₃, b₂, b₁, b₀) = Σ(0, 2, 4, 8, 10, 11, 12).
where the value of the function is computed by considering b₃b₂b₁b₀ as a 4-bit binary number, where b₃ denotes the most significant bit and b₀ denotes the least significant bit. Note that there are no don't care terms. Which ONE of the following options is the CORRECT minimized Boolean expression for F?",Digital Logic,Minimization,2025
jh7c24w03h3v36vmb6n6929yc17szn88,Discrete Mathematics,2025-cs2-q.42,"Let F be the set of all functions from {1, ..., n} to {0,1}. Define the binary relation ≤ on F as follows:

∀f, g ∈ F, f ≤ g if and only if ∀x ∈ {1, ..., n}, f(x) ≤ g(x), where 0 ≤ 1.

Which of the following statement(s) is/are TRUE?",Engineering Mathematics,"Sets, relations, functions, partial orders and lattices",2025
jh7ekyjb082b8g92wnp8s5ha417szp1z,Algorithms,2025-cs1-q.43,"Let G(V, E) be an undirected and unweighted graph with 100 vertices. Let d(u, v) denote the number of edges in a shortest path between vertices u and v in V. Let the maximum value of d(u, v), u, v ∈ V such that u ≠ v, be 30. Let T be any breadth-first-search tree of G. Which ONE of the given options is CORRECT for every such graph G?",Algorithms,Graph traversals,2025
jh78g6j8yx2v8kv1a91nmn7s217sz9g4,Digital Logic,2025-cs2-q.43,"Given the following Karnaugh Map for a Boolean function F(w, x, y, z):

Which one or more of the following Boolean expression(s) represent(s) F?",Digital Logic,Minimization,2025
jh704r1pymgsxkbepa1dcrk8m57szk5x,Theory of Computation,2025-cs1-q.44,"Consider the following two languages over the alphabet {a, b}:
L₁ = {αβα | α ∈ {a,b}⁺ AND β ∈ {a,b}⁺ }
L₂ = {αβα | α ∈ {a}⁺ AND β ∈ {a,b}⁺ }
Which ONE of the following statements is CORRECT?",Theory of Computation,"Regular and context-free languages, pumping lemma",2025
jh795mwqgsyvywjd1ae35z2j5d7sz7gf,Engineering Mathematics,2025-cs2-q.44,"Consider a system of linear equations PX = Q where P ∈ R³ˣ³ and Q ∈ R³ˣ¹.
Suppose P has an LU decomposition, P = LU, where

L = [[1, 0, 0], [l21, 1, 0], [l31, l32, 1]] and U = [[u11, u12, u13], [0, u22, u23], [0, 0, u33]]

Which of the following statement(s) is/are TRUE?",Engineering Mathematics,"Matrices, determinants, system of linear equations, eigenvalues and eigenvectors, LU decomposition",2025
jh756g51pxz8a9cb7tz8bqvzq97sy1wn,Theory of Computation,2025-cs1-q.45,"Consider the following two languages over the alphabet {a, b, c}, where m and n are natural numbers.
L₁ = {aᵐbᵐcᵐ⁺ⁿ | m, n ≥ 1}
L₂ = {aᵐbⁿcᵐ⁺ⁿ | m, n ≥ 1}
Which ONE of the following statements is CORRECT?",Theory of Computation,"Regular and context-free languages, pumping lemma",2025
jh7133hykj1fbdv3dqxcxy0wy57sy57j,Programming and Data Structures,2025-cs2-q.45,"Consider a stack data structure into which we can PUSH and POP records. Assume that each record pushed in the stack has a positive integer key and that all keys are distinct.

We wish to augment the stack data structure with an O(1) time MIN operation that returns a pointer to the record with smallest key present in the stack

1) without deleting the corresponding record, and
2) without increasing the complexities of the standard stack operations.

Which one or more of the following approach(es) can achieve it?",Programming and Data Structures,"Arrays, stacks, queues, linked lists, trees, binary search trees, binary heaps, graphs",2025
jh7fgkcqmzw44rsb35ysph9p2n7szq5f,Compiler Design,2025-cs1-q.46,Which of the following statement(s) is/are TRUE while computing First and Follow during top down parsing by a compiler?,Compiler Design,Parsing,2025
jh70ak49vsab8c5bdj9f2gwz217syk79,Databases,2025-cs2-q.46,"Consider the following relational schema along with all the functional dependencies that hold on them.

R1(A, B, C, D, E): { D → E, EA → B, EB → C}
R2(A, B, C, D): { A → D, A → B, C → A}

Which of the following statement(s) is/are TRUE?",Databases,"Integrity constraints, normal forms",2025
